symbol,ca,datetime_utc,open,high,low,close,volume
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:59,7.80108161428912e-05,8.244112954193087e-05,7.661099317636217e-05,7.7257149671389e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:00,7.7257149671389e-05,7.816593647029514e-05,7.304946689419008e-05,7.304946689419008e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:01,7.304946689419008e-05,7.444892435911283e-05,7.053976999702266e-05,7.053976999702266e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:02,7.053976999702266e-05,7.078357400247922e-05,6.779188239450664e-05,6.881265805369447e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:03,6.881265805369447e-05,6.881265805369447e-05,6.591634665094826e-05,6.713384611956891e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:04,6.713384611956891e-05,7.203049537496178e-05,6.628022412597061e-05,7.203049537496178e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:05,7.203049537496178e-05,7.444183746465351e-05,7.152710003884985e-05,7.444183746465351e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:06,7.444183746465351e-05,7.455507716827163e-05,7.300013473039765e-05,7.359431733782552e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:07,7.359431733782552e-05,7.464224426922676e-05,7.332730361997844e-05,7.438247125980572e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:08,7.438247125980572e-05,7.443808056390769e-05,7.335818211227804e-05,7.335818211227804e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:09,7.335818211227804e-05,7.52879539551268e-05,7.30688983418279e-05,7.52879539551268e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:10,7.52879539551268e-05,7.639359868523009e-05,7.52879539551268e-05,7.639359868523009e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:11,7.639359868523009e-05,7.655906618538548e-05,7.21877152828167e-05,7.21877152828167e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:12,7.21877152828167e-05,7.21877152828167e-05,7.083759580588964e-05,7.083759580588964e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:13,7.083759580588964e-05,7.200532522405338e-05,7.079161291544785e-05,7.185269260329593e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:14,7.185269260329593e-05,7.280303373173178e-05,7.185269260329593e-05,7.280303373173178e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:15,7.280303373173178e-05,7.292442996430313e-05,7.13211954122171e-05,7.13211954122171e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:16,7.13211954122171e-05,7.13211954122171e-05,6.828653460469117e-05,6.936835983285725e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:17,6.936835983285725e-05,6.936835983285725e-05,6.862775011406971e-05,6.862775011406971e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:18,6.862775011406971e-05,6.967440229247312e-05,6.844254136659643e-05,6.914966534332867e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:19,6.914966534332867e-05,6.914966534332867e-05,6.637432401545842e-05,6.637432401545842e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:20,6.637432401545842e-05,6.637432401545842e-05,6.506170147494163e-05,6.506170147494163e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:21,6.506170147494163e-05,6.506170147494163e-05,5.734354772554853e-05,5.734354772554853e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:22,5.734354772554853e-05,5.8364313108675644e-05,5.654358863900767e-05,5.824952316687158e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:23,5.824952316687158e-05,5.959395504940418e-05,5.824952316687158e-05,5.959395504940418e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:24,5.959395504940418e-05,6.053021933089124e-05,5.914789867923071e-05,6.0178708684127446e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:25,6.0178708684127446e-05,6.024488167710577e-05,6.0165503434221e-05,6.024488167710577e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:26,6.024488167710577e-05,6.06662882147073e-05,6.024488167710577e-05,6.06662882147073e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:27,6.06662882147073e-05,6.807858252314159e-05,5.768309979077288e-05,6.807858252314159e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:28,6.807858252314159e-05,6.807858252314159e-05,6.644903443029507e-05,6.65728427083529e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:29,6.65728427083529e-05,6.745694966333113e-05,6.566914298755581e-05,6.566914298755581e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:30,6.566914298755581e-05,6.59158989396845e-05,6.469819977481764e-05,6.5504569919243e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:31,6.5504569919243e-05,6.571329268376335e-05,6.467590306681424e-05,6.479632548599523e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:32,6.479632548599523e-05,6.574245693553227e-05,5.539359710117868e-05,5.623375937525663e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:33,5.623375937525663e-05,5.633726167278417e-05,5.50471517155524e-05,5.633726167278417e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:34,5.633726167278417e-05,5.659559690457291e-05,5.5404955549365396e-05,5.6512694858925516e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:35,5.6512694858925516e-05,5.66416566165386e-05,5.323184071949348e-05,5.52255816237516e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:36,5.52255816237516e-05,5.689045478267345e-05,5.377457872114045e-05,5.455840771052658e-05,
